Weeks,Brazil,India,US
1,0,0,5
2,0,3,11
3,0,3,13
4,0,3,14
5,0,3,16
6,2,5,74
7,31,56,782
8,321,142,6512
9,2247,536,56714
10,5717,1397,192079
11,14034,5311,410834
12,25262,11487,622493
13,43079,20080,820045
14,73235,31324,1019964
15,115455,49400,1209729
16,178214,74292,1374792
17,271885,106475,1531138
18,395167,150793,1681130
19,562963,207191,1826171
20,743917,276146,1975017
21,930305,354065,2133177
22,1154255,456183,2345700
23,1412669,585481,2645097
24,1676848,742417,3000739
25,1933791,936181,3435158
26,2171079,1193078,3890581
27,2503681,1531669,4345753
28,2812447,1908254,4751727
29,3118153,2329638,5153612
30,3416775,2767253,5500444
31,3678279,3224547,5793226
32,3959158,3769523,6084863
33,4168790,4370128,6342348
34,4388154,5020359,6615675
35,4599189,5646010,6907171
36,4784464,6225763,7201408
37,4975268,6757131,7504040
38,5118699,7239389,7860616
39,5278737,7651107,8289391
40,5445189,7990322,8792514
41,5570782,8313876,9441876
42,5726227,8636011,10297519
43,5916529,8912907,11405016
44,6126752,9222216,12652429
45,6393950,9499413,13825129
46,6681767,9735850,15300723
47,6982223,9932547,16844840
48,7326935,10099066,18363666
49,7570963,10244852,19657905
50,7819636,10374932,21264225
51,8205289,10495147,23015640
52,8583485,10595639,24417500
53,8942472,10689527,25588120
54,9293289,10777284,26580216
55,9608775,10858371,27345187
56,9939100,10937320,27921552
57,10269248,11030176,28396521
58,10658171,11139516,28856152
59,11136064,11262707,29262251
60,11620823,11438734,29645606
61,12147437,11734058,30023429
62,12674667,12149335,30493118
63,13120019,12801785,30946243
64,13613418,13873825,31447850
65,14060162,15616130,31901208
66,14457203,17997113,32279475
67,14871208,20664979,32618438
68,15297602,23340938,32885452
69,15747112,25496330,33105162
70,16205305,27157795,33275265
71,16636801,28307832,33396736
72,17049756,29089069,33498439
73,17552769,29633105,33593882
74,18103412,30028709,33674095
75,18523153,30362848,33760891
76,18863811,30663665,33862001
77,19161644,30946147,34028457
78,19428736,31216337,34292651
79,19758310,31484605,34718799
80,19993870,31769132,35350930
81,20220993,32036511,36190422
82,20425554,32285857,37180564
83,20622681,32512366,38241536
84,20785196,32810845,39383022
85,20918333,33096718,40440420
86,21025635,33316755,41519431
87,21268413,33531498,42475691
88,21393526,33716451,43294474
89,21505626,33871881,44012196
90,21594887,34001743,44642469
91,21671287,34108996,45199669
92,21754992,34215653,45696134
93,21825169,34308140,46217513
94,21903249,34388579,46742192
95,21971337,34466598,47335586
96,22038108,34535763,48006284
97,22100143,34596776,48583688
98,22163231,34656822,49430739
99,22200629,34710628,50270591
100,22223943,34758481,51339231
101,22259270,34808886,53228909
102,22328252,35018358,57167299
103,22636359,36070510,62588727
104,23229851,37901241,67871415
105,24342322,40085116,72436325
106,25634781,41630885,75481479
107,26793497,42410976,77174921
108,27677468,42723558,78137216
109,28361951,42867031,78726513
110,28818850,42938599,79164656
111,29152318,42975883,79439520
112,29441039,42998938,79654691
113,29691641,43012749,79874631
114,29887191,43023215,80089528
115,30042272,43030925,80277806
116,30184286,43038016,80542912
117,30275219,43047594,80805195
118,30378061,43065496,81175014
119,30482429,43088118,81589069
120,30594388,43110586,82153107
121,30701900,43127199,82828147
122,30836815,43142192,83589192
123,31019038,43160832,84303519
124,31266163,43190282,85102136
125,31541479,43245517,85847789
126,31818827,43331645,86544420
127,32206954,43433345,87319151
128,32610514,43547809,88081441
129,33004555,43669850,88966106
130,33397814,43801678,89847910
131,33659879,43938764,90733680
132,33790698,44000138,91300271